Timepoint (1min, 128Hz)	1 - F7	2 - F3	3 - F4	4 - F8	5 - T3	6 - C3	7 - Cz	8 - C4	9 - T4	10 - T5	11 - P3	12 - Pz	13 - P4	14 - T6	15 - O1	16 - O2
1	-137.02	-530.95	-496.7	-393.93	-239.79	-770.74	-856.38	-839.25	-565.21	-616.59	-839.25	-942.01	-736.48	-530.95	-171.28	-325.42
2	-205.53	-565.21	-496.7	-393.93	-256.91	-822.12	-856.38	-839.25	-513.83	-530.95	-736.48	-873.5	-650.85	-462.44	-119.89	-171.28
3	-154.15	-445.32	-308.3	-256.91	-51.38	-633.72	-650.85	-633.72	-325.42	-239.79	-342.55	-599.46	-376.81	-205.53	34.26	51.38
4	-85.64	-342.55	-154.15	-137.02	17.13	-462.44	-496.7	-462.44	-171.28	-102.77	-119.89	-462.44	-239.79	-85.64	85.64	154.15
5	-51.38	-308.3	102.77	85.64	51.38	-239.79	-222.66	-137.02	-17.13	-34.26	17.13	-274.04	-51.38	17.13	0	171.28
6	-119.89	-342.55	154.15	154.15	-17.13	-222.66	-154.15	0	34.26	-119.89	0	-171.28	-17.13	34.26	-51.38	137.02
7	-222.66	-222.66	154.15	205.53	-274.04	-222.66	0	119.89	119.89	-239.79	-137.02	17.13	51.38	85.64	-274.04	154.15
8	-205.53	-68.51	154.15	239.79	-291.17	-171.28	68.51	239.79	205.53	-239.79	-154.15	137.02	119.89	137.02	-308.3	188.4
9	-17.13	102.77	308.3	308.3	-205.53	0	359.68	428.19	376.81	-205.53	-171.28	359.68	222.66	188.4	-308.3	154.15
10	0	119.89	393.93	342.55	-119.89	85.64	479.57	496.7	411.06	-222.66	-222.66	393.93	256.91	154.15	-376.81	51.38
11	34.26	85.64	359.68	325.42	-17.13	102.77	548.08	445.32	222.66	-342.55	-359.68	342.55	274.04	68.51	-650.85	-119.89
12	68.51	68.51	274.04	274.04	17.13	34.26	445.32	342.55	85.64	-376.81	-445.32	239.79	239.79	0	-856.38	-137.02
13	85.64	0	68.51	68.51	68.51	-34.26	34.26	-68.51	-154.15	-462.44	-599.46	-188.4	-85.64	-137.02	-1079.03	-51.38
14	102.77	-17.13	0	0	102.77	-171.28	-171.28	-291.17	-291.17	-462.44	-633.72	-428.19	-308.3	-256.91	-942.01	0
15	0	-222.66	-205.53	-256.91	17.13	-479.57	-650.85	-736.48	-479.57	-479.57	-633.72	-736.48	-565.21	-393.93	-376.81	119.89
16	17.13	-308.3	-291.17	-308.3	-17.13	-633.72	-822.12	-839.25	-496.7	-376.81	-513.83	-702.23	-548.08	-393.93	17.13	188.4
17	-137.02	-479.57	-274.04	-222.66	-205.53	-565.21	-736.48	-667.97	-205.53	-34.26	17.13	-154.15	-102.77	-137.02	736.48	496.7
18	-154.15	-513.83	-222.66	-154.15	-205.53	-428.19	-616.59	-479.57	-34.26	85.64	154.15	34.26	0	0	907.76	565.21
19	-154.15	-462.44	-154.15	-34.26	-85.64	-171.28	-325.42	-171.28	34.26	205.53	359.68	445.32	256.91	274.04	1044.78	565.21
20	-137.02	-393.93	-85.64	0	-34.26	-68.51	-222.66	-102.77	51.38	256.91	428.19	565.21	325.42	325.42	1044.78	496.7
21	-17.13	-205.53	0	17.13	-17.13	0	-34.26	0	34.26	291.17	428.19	616.59	376.81	325.42	839.25	239.79
22	-17.13	-154.15	-17.13	68.51	-34.26	0	17.13	34.26	85.64	239.79	342.55	565.21	359.68	308.3	650.85	85.64
23	-85.64	-85.64	-34.26	34.26	-51.38	17.13	137.02	188.4	137.02	51.38	154.15	496.7	393.93	274.04	308.3	-34.26
24	-51.38	-51.38	-51.38	17.13	-34.26	0	239.79	239.79	188.4	51.38	188.4	565.21	462.44	325.42	188.4	-34.26
25	68.51	51.38	17.13   17.13	68.51	205.53	548.08	445.32	188.4	274.04	393.93	907.76	565.21	359.68	188.4	85.64
26	205.53	154.15	68.51	51.38	171.28	428.19	650.85	530.95	205.53	428.19	530.95	1044.78	599.46	308.3	239.79	188.4
27	308.3	205.53	274.04	239.79	308.3	479.57	548.08	565.21	188.4	530.95	599.46	856.38	411.06	119.89	291.17	274.04
28	239.79	119.89	256.91	256.91	274.04	342.55	376.81	479.57	188.4	479.57	513.83	548.08	239.79	-34.26	274.04	188.4
29	34.26	-102.77	34.26	85.64	17.13	-119.89	-154.15	34.26	68.51	205.53	171.28	-102.77	-137.02	-171.28	274.04	-34.26
30	-17.13	-171.28	-34.26	-17.13	-34.26	-325.42	-428.19	-171.28	34.26	119.89	34.26	-411.06	-342.55	-256.91	239.79	-171.28
31	17.13	-119.89	-171.28	-137.02	-34.26	-411.06	-804.99	-513.83	-17.13	34.26	-17.13	-770.74	-565.21	-325.42	119.89	-376.81
32	85.64	-51.38	-154.15	-137.02	85.64	-325.42	-804.99	-530.95	-17.13	68.51	0	-770.74	-565.21	-325.42	68.51	-445.32
33	154.15	34.26	17.13	17.13	291.17	171.28	-222.66	-51.38	85.64	479.57	513.83	-119.89	-171.28	-51.38	359.68	-291.17
34	188.4	85.64	68.51	51.38	274.04	325.42	0	51.38	171.28	616.59	685.1	154.15	0	51.38	496.7	-154.15
35	205.53	239.79	68.51	85.64	205.53	496.7	171.28	154.15	188.4	770.74	924.89	496.7	137.02	239.79	565.21	-34.26
36	188.4	205.53	34.26	68.51	188.4	496.7	154.15	119.89	171.28	753.61	907.76	479.57	119.89	205.53	496.7	0
37	85.64	68.51	0	17.13	119.89	376.81	85.64	34.26	171.28	616.59	685.1	188.4	-17.13	34.26	342.55	-171.28
38	34.26	34.26	0	17.13	68.51	308.3	119.89	85.64	239.79	548.08	616.59	119.89	-34.26	0	308.3	-239.79
39	102.77	205.53	222.66	137.02	119.89	393.93	376.81	411.06	376.81	548.08	616.59	239.79	34.26	0	342.55	-239.79
40	222.66	411.06	325.42	205.53	205.53	513.83	530.95	565.21	376.81	616.59	650.85	359.68	85.64	0	308.3	-222.66
41	445.32	633.72	445.32	274.04	411.06	753.61	650.85	599.46	222.66	565.21	599.46	376.81	-17.13	-205.53	137.02	-291.17
42	462.44	616.59	393.93	256.91	428.19	753.61	565.21	479.57	137.02	428.19	445.32	274.04	-137.02	-376.81	34.26	-411.06
