,Price,Technique,Min Samples to Split,Leafs
0,23720,Undersample 50-50,5,137
1,25430,Undersample 70-30,5,215
2,51920,SMOTE 50-50,5,1629
3,46790,SMOTE 70-30,5,1279
4,22370,Undersample 50-50,10,119
5,24660,Undersample 70-30,10,199
6,55300,SMOTE 50-50,10,1517
7,43190,SMOTE 70-30,10,1155
8,25650,Undersample 50-50,15,113
9,28420,Undersample 70-30,15,189
10,58460,SMOTE 50-50,15,1453
11,47160,SMOTE 70-30,15,1089
12,24440,Undersample 50-50,20,107
13,26440,Undersample 70-30,20,171
14,54420,SMOTE 50-50,20,1405
15,43790,SMOTE 70-30,20,1053
16,24690,Undersample 50-50,25,99
17,27280,Undersample 70-30,25,167
18,53610,SMOTE 50-50,25,1365
19,45250,SMOTE 70-30,25,1013
20,24110,Undersample 50-50,30,95
21,27270,Undersample 70-30,30,159
22,55600,SMOTE 50-50,30,1339
23,44270,SMOTE 70-30,30,989
24,22780,Undersample 50-50,35,93
25,29720,Undersample 70-30,35,153
26,54640,SMOTE 50-50,35,1335
27,45370,SMOTE 70-30,35,971
28,22090,Undersample 50-50,40,95
29,28940,Undersample 70-30,40,139
30,54740,SMOTE 50-50,40,1299
31,43440,SMOTE 70-30,40,937
32,23320,Undersample 50-50,45,89
33,28380,Undersample 70-30,45,137
34,50740,SMOTE 50-50,45,1281
35,43550,SMOTE 70-30,45,903
36,22040,Undersample 50-50,50,83
37,29890,Undersample 70-30,50,141
38,50470,SMOTE 50-50,50,1265
39,40610,SMOTE 70-30,50,883
40,21180,Undersample 50-50,50,79
41,29950,Undersample 70-30,50,141
42,49980,SMOTE 50-50,50,1255
43,40600,SMOTE 70-30,50,883
44,18750,Undersample 50-50,150,43
45,16810,Undersample 70-30,150,95
46,44750,SMOTE 50-50,150,1049
47,37980,SMOTE 70-30,150,703
48,18750,Undersample 50-50,250,43
49,16930,Undersample 70-30,250,89
50,44250,SMOTE 50-50,250,967
51,40220,SMOTE 70-30,250,589
52,18750,Undersample 50-50,350,43
53,15950,Undersample 70-30,350,69
54,42720,SMOTE 50-50,350,899
55,41480,SMOTE 70-30,350,487
56,18750,Undersample 50-50,450,43
57,15800,Undersample 70-30,450,59
58,44070,SMOTE 50-50,450,859
59,34520,SMOTE 70-30,450,441
