Min Samples to Split,Test,Train
5,0.9221770727655889,0.9909181636726546
5,,0.9909181636726546
10,0.9290771915245689,0.978942115768463
10,,0.978942115768463
15,0.9285862515977635,0.9686626746506986
15,,0.9686626746506986
20,0.9237778948804051,0.9748502994011975
20,,0.9748502994011975
25,0.9326358829736959,0.9654690618762476
25,,0.9654690618762476
30,0.9363789884054806,0.9634730538922156
30,,0.9634730538922156
35,0.9247092534586684,0.9660678642714572
35,,0.9660678642714572
40,0.9307613850713483,0.9647704590818362
40,,0.9647704590818362
45,0.9244860989464841,0.9573852295409181
45,,0.9573852295409181
50,0.9284464685175426,0.9591816367265468
50,,0.9591816367265468
100,0.9277770049809899,0.9617764471057885
100,,0.9617764471057885
200,0.9316481127471747,0.9545908183632734
200,,0.9545908183632734
300,0.9329365185449329,0.9565868263473054
300,,0.9565868263473054
400,0.9426812343140503,0.9620758483033932
400,,0.9620758483033932
500,0.9337727249454121,0.961177644710579
500,,0.961177644710579
600,0.9402324250529341,0.9620758483033932
600,,0.9620758483033932
700,0.9332430444890804,0.9577844311377246
700,,0.9577844311377246
800,0.9403663177602445,0.961377245508982
800,,0.961377245508982
900,0.9439755304847188,0.9607784431137725
900,,0.9607784431137725
1000,0.936450579091623,0.958383233532934
1000,,0.958383233532934
