Min Samples to Split,Test,Train
5,0.9328649278587906,0.9882235528942116
5,,0.9882235528942116
10,0.9347335353882277,0.9858283433133732
10,,0.9858283433133732
15,0.9291664533294426,0.9812375249500999
15,,0.9812375249500999
20,0.9313028462735009,0.9755489021956087
20,,0.9755489021956087
25,0.9337070246321801,0.9721556886227545
25,,0.9721556886227545
30,0.9310796917613167,0.9666666666666666
30,,0.9666666666666666
35,0.9307226445418219,0.9643712574850299
35,,0.9643712574850299
40,0.9304102282247639,0.9602794411177644
40,,0.9602794411177644
45,0.927604371744153,0.9598802395209581
45,,0.9598802395209581
50,0.9298300264930849,0.9552894211576846
50,,0.9552894211576846
100,0.9322283144788538,0.956187624750499
100,,0.956187624750499
200,0.9384589697012811,0.9570858283433133
200,,0.9570858283433133
300,0.9383697078964073,0.9615768463073853
300,,0.9615768463073853
400,0.9401877941504972,0.958383233532934
400,,0.958383233532934
500,0.9427258652164873,0.9582834331337325
500,,0.9582834331337325
600,0.9406787340773024,0.9589820359281437
600,,0.9589820359281437
700,0.9404555795651184,0.9579840319361278
700,,0.9579840319361278
800,0.9425473416067398,0.954690618762475
800,,0.954690618762475
900,0.9405002104675552,0.9611776447105789
900,,0.9611776447105789
1000,0.9359596391648176,0.949500998003992
1000,,0.949500998003992
