accuracy,roc_auc,min_samples_split,transformation,max_features
0.7444809341361065,0.6918452380952381,2.0,baseline,
0.7626117496807152,0.6507142857142857,4.0,baseline,
0.7272395548257617,0.6985289115646258,6.0,baseline,
0.7377257799671593,0.6949574829931973,8.0,baseline,
0.712962962962963,0.6787499999999999,10.0,baseline,
0.747824302134647,0.7055017006802721,12.0,baseline,
0.7407954752782339,0.7186649659863945,14.0,baseline,
0.7476920270023719,0.7430697278911564,16.0,baseline,
0.7407954752782339,0.7091411564625851,18.0,baseline,
0.7441205984309434,0.7150085034013605,20.0,baseline,
0.754720853858785,0.7129421768707482,22.0,baseline,
0.744376026272578,0.7016751700680273,24.0,baseline,
0.7120461594599526,0.6769727891156464,,baseline,10.0
0.70069330414158,0.6767346938775509,,baseline,12.0
0.7160144134282065,0.6886139455782313,,baseline,14.0
0.7346834519248313,0.6854081632653061,,baseline,16.0
0.7071930304688925,0.6893367346938777,,baseline,18.0
0.681549899653348,0.7145408163265305,,baseline,20.0
0.7174055829228243,0.7258248299319728,,baseline,22.0
0.6991698595146871,0.692236394557823,,baseline,24.0
0.713464696223317,0.6735374149659863,,baseline,26.0
0.7208629812078089,0.6988860544217687,,baseline,28.0
0.7313400839262908,0.7067346938775511,,baseline,30.0
0.7028644407954753,0.71078231292517,,baseline,32.0
0.7138432767743111,0.656079931972789,,baseline,34.0
0.7614851304506477,0.6834353741496599,,baseline,36.0
0.6886927567962051,0.7369217687074829,,baseline,38.0
0.7098659003831418,0.6628741496598638,,baseline,40.0
0.7407863528553185,0.7105952380952381,,baseline,42.0
0.7373471994161649,0.7137670068027211,,baseline,44.0
0.7203703703703704,0.7175595238095238,,baseline,46.0
0.7059341361065499,0.7007738095238095,,baseline,48.0
0.7589354132457581,0.718078231292517,,baseline,50.0
0.7335203430031016,0.6854336734693878,,baseline,52.0
0.7161649334063128,0.7306207482993197,,baseline,54.0
0.7295612114577631,0.7009013605442178,,baseline,56.0
0.7332649151614669,0.7203826530612245,,baseline,58.0
0.7473134464513775,0.7258673469387755,,baseline,60.0
0.7510714285714285,0.7484523809523809,2.0,balancing,
0.7363095238095239,0.7493588435374149,4.0,balancing,
0.7271428571428572,0.7510277777777778,6.0,balancing,
0.7292857142857143,0.7544030612244897,8.0,balancing,
0.7175,0.7539900793650793,10.0,balancing,
0.7201190476190475,0.752016439909297,12.0,balancing,
0.7320238095238095,0.762888888888889,14.0,balancing,
0.7176190476190476,0.7564614512471655,16.0,balancing,
0.7201190476190475,0.7461116780045352,18.0,balancing,
0.7030952380952382,0.7331751700680271,20.0,balancing,
0.6980952380952381,0.7394047619047619,22.0,balancing,
0.7103571428571429,0.7277267573696145,24.0,balancing,
0.6485714285714286,0.7746774376417234,,balancing,10.0
0.6935714285714286,0.7562689909297051,,balancing,12.0
0.7129761904761904,0.7315787981859411,,balancing,14.0
0.7203571428571428,0.7853341836734695,,balancing,16.0
0.7701190476190476,0.8044401927437642,,balancing,18.0
0.718095238095238,0.7815646258503401,,balancing,20.0
0.6888095238095239,0.742405328798186,,balancing,22.0
0.7204761904761905,0.7516088435374149,,balancing,24.0
0.6939285714285715,0.7246136621315193,,balancing,26.0
0.7391666666666666,0.8101615646258503,,balancing,28.0
0.7150000000000001,0.7427687074829932,,balancing,30.0
0.7080952380952382,0.7979141156462585,,balancing,32.0
0.705595238095238,0.733842970521542,,balancing,34.0
0.7033333333333334,0.7455445011337869,,balancing,36.0
0.7373809523809524,0.7797236394557823,,balancing,38.0
0.7292857142857143,0.7559784580498865,,balancing,40.0
0.7414285714285714,0.7598565759637188,,balancing,42.0
0.7247619047619047,0.7664387755102041,,balancing,44.0
0.7082142857142857,0.7825668934240363,,balancing,46.0
0.7053571428571429,0.7532868480725623,,balancing,48.0
0.7082142857142857,0.7527548185941043,,balancing,50.0
0.7104761904761905,0.7728106575963719,,balancing,52.0
0.7251190476190477,0.6910042517006804,,balancing,54.0
0.6958333333333334,0.7502831632653061,,balancing,56.0
0.7222619047619048,0.7636706349206349,,balancing,58.0
0.7127380952380953,0.7508477891156462,,balancing,60.0
