accuracy,roc_auc,k,transformation
0.6688834154351396,0.5691666666666666,1,baseline
0.6793513957307061,0.5996598639455782,3,baseline
0.7347792373654443,0.6013520408163264,5,baseline
0.7180487137383689,0.6103486394557824,7,baseline
0.7278826856413063,0.6058928571428572,9,baseline
0.728005838350666,0.6329676870748299,11,baseline
0.7351578179164386,0.6018197278911565,13,baseline
0.7420543696405766,0.6061309523809524,15,baseline
0.7349023900748038,0.5950425170068028,17,baseline
0.7351578179164386,0.5727721088435374,19,baseline
0.7383506659368729,0.5792857142857143,21,baseline
0.6801176792556103,0.58,1,normalization
0.7143541324575807,0.6094897959183674,3,normalization
0.749092318919905,0.6255782312925171,5,normalization
0.7387383689107827,0.612372448979592,7,normalization
0.7387383689107827,0.6079761904761904,9,normalization
0.7318418171866449,0.6023299319727892,11,normalization
0.7283935413245758,0.5916156462585034,13,normalization
0.721496989600438,0.6183418367346938,15,normalization
0.7282612661923007,0.6097959183673469,17,normalization
0.7282612661923007,0.5883248299319728,19,normalization
0.7351578179164386,0.5818962585034013,21,normalization
0.6410417806969532,0.5324404761904761,1,normalization and feature selection
0.6580277321656632,0.5389285714285713,3,normalization and feature selection
0.717528735632184,0.5885374149659864,5,normalization and feature selection
0.7346378398102535,0.591547619047619,7,normalization and feature selection
0.7490649516511585,0.5953741496598639,9,normalization and feature selection
0.7315772669220946,0.5684948979591835,11,normalization and feature selection
0.7283844189016604,0.5346768707482993,13,normalization and feature selection
0.7248129903302318,0.5371683673469387,15,normalization and feature selection
0.7249361430395913,0.5206037414965987,17,normalization and feature selection
0.7249361430395913,0.5253996598639457,19,normalization and feature selection
0.7283844189016603,0.5182057823129251,21,normalization and feature selection
0.7964285714285715,0.7964285714285715,1,balance
0.7178571428571427,0.8053268140589569,3,balance
0.6700000000000002,0.7628537414965987,5,balance
0.6460714285714285,0.7358988095238096,7,balance
0.6438095238095238,0.714827664399093,9,balance
0.6175,0.7008965419501134,11,balance
0.6102380952380952,0.686204081632653,13,balance
0.5983333333333334,0.6667089002267573,15,balance
0.5888095238095239,0.6529319727891157,17,balance
0.5910714285714287,0.6440215419501134,19,balance
0.5672619047619049,0.636922335600907,21,balance
