accuracy,roc_auc,min_samples_split,transformation,max_features
0.770010034665207,0.7985204081632653,2.0,baseline estimators 500,
0.7768974639664294,0.8112755102040816,4.0,baseline estimators 500,
0.7696223316912972,0.8090816326530611,6.0,baseline estimators 500,
0.7664294836708629,0.8021938775510205,8.0,baseline estimators 500,
0.7698777595329318,0.8005442176870747,10.0,baseline estimators 500,
0.7660509031198687,0.8019727891156464,12.0,baseline estimators 500,
0.7767743112570699,0.7964795918367347,14.0,baseline estimators 500,
0.759031198686371,0.8051360544217687,16.0,baseline estimators 500,
0.7628580550994345,0.7974659863945578,18.0,baseline estimators 500,
0.7594097792373654,0.7981122448979592,20.0,baseline estimators 500,
0.7553274949826674,0.8012074829931972,22.0,baseline estimators 500,
0.7624794745484401,0.7944047619047618,24.0,baseline estimators 500,
0.8445238095238095,0.9248826530612243,,balancing estimators 500,2.0
0.8323809523809524,0.9222284580498867,,balancing estimators 500,4.0
0.8347619047619048,0.9209143990929703,,balancing estimators 500,6.0
0.8204761904761904,0.9141524943310657,,balancing estimators 500,8.0
0.8204761904761904,0.9102743764172336,,balancing estimators 500,10.0
0.8133333333333332,0.9080765306122449,,balancing estimators 500,12.0
0.8085714285714285,0.9031751700680271,,balancing estimators 500,14.0
0.799047619047619,0.8963724489795919,,balancing estimators 500,16.0
0.7917857142857143,0.8917443310657596,,balancing estimators 500,18.0
0.799047619047619,0.8848951247165532,,balancing estimators 500,20.0
0.799047619047619,0.8822670068027211,,balancing estimators 500,22.0
0.7871428571428571,0.8837148526077098,,balancing estimators 500,24.0
