Dataset,Discretization,Number of Rules,Mean Lift,Mean Lift Top 15,Support
col,Equal Width 80,57034,2.0962829361742332,4.1000000000000005,0.15
col,Equal Width 80,34176,1.955665694665301,3.9242857142857157,0.16999999999999998
col,Equal Width 80,20423,1.8843436558204083,3.9242857142857157,0.18999999999999997
col,Equal Width 80,17072,1.8954537954970558,3.9242857142857157,0.20999999999999996
col,Equal Width 80,16532,1.9014152754690439,3.9242857142857157,0.22999999999999995
col,Equal Width 80,6643,1.5792472774833453,2.987940010570825,0.24999999999999994
col,Equal Width 80,5827,1.5549397589038825,2.9689708547266696,0.2699999999999999
col,Equal Width 80,3874,1.466121380735761,2.8415841584158414,0.2899999999999999
col,Equal Width 80,3369,1.4486957752614222,2.806789250353606,0.30999999999999994
col,Equal Width 80,2515,1.3997277812589008,2.7545968882602545,0.3299999999999999
col,Equal Width 80,1411,1.3253761586969348,1.9375786421696586,0.34999999999999987
col,Equal Width 80,1191,1.3270798635955847,1.9339948260694526,0.3699999999999999
col,Equal Width 80,1073,1.3400290049469195,1.9339948260694526,0.3899999999999999
col,Equal Width 100,27735,1.8679192454060927,4.0945828235869834,0.15
col,Equal Width 100,19719,1.821283103612271,4.0945828235869834,0.16999999999999998
col,Equal Width 100,15292,1.8403670753243098,4.0945828235869834,0.18999999999999997
col,Equal Width 100,8607,1.6863572632758383,3.952593829055499,0.20999999999999996
col,Equal Width 100,4797,1.5047753014761909,3.225820488375366,0.22999999999999995
col,Equal Width 100,3756,1.4491463832181173,2.9125711137464187,0.24999999999999994
col,Equal Width 100,3039,1.4240270013127447,2.5937905135846933,0.2699999999999999
col,Equal Width 100,2112,1.3926277536438953,2.2375900371225024,0.2899999999999999
col,Equal Width 100,1582,1.3757750896438101,2.1775464949540084,0.30999999999999994
col,Equal Width 100,1076,1.3597950364323892,1.9539300733326384,0.3299999999999999
col,Equal Width 100,898,1.3686598253824174,1.9438357487922706,0.34999999999999987
col,Equal Width 100,838,1.3817410067296987,1.9438357487922706,0.3699999999999999
col,Equal Width 100,805,1.3913825365484465,1.9438357487922706,0.3899999999999999
col,Equal Frequency 80,3839,1.8920945768957065,3.632911392405063,0.15
col,Equal Frequency 80,3117,1.860313996906785,3.632911392405063,0.16999999999999998
col,Equal Frequency 80,1766,1.6942718641073637,3.0596388050390235,0.18999999999999997
col,Equal Frequency 80,1539,1.6669683139843596,2.4547989216553874,0.20999999999999996
col,Equal Frequency 80,1092,1.6475110593001354,2.327093713641526,0.22999999999999995
col,Equal Frequency 80,1056,1.6560514097269823,2.327093713641526,0.24999999999999994
col,Equal Frequency 80,835,1.6283965423809588,2.0500000000000003,0.2699999999999999
col,Equal Frequency 80,537,1.6077185599300912,2.0500000000000003,0.2899999999999999
col,Equal Frequency 80,507,1.6196517113441509,2.0500000000000003,0.30999999999999994
col,Equal Frequency 80,392,1.6203919171610912,2.0500000000000003,0.3299999999999999
col,Equal Frequency 80,294,1.6148062410907449,2.0500000000000003,0.34999999999999987
col,Equal Frequency 80,290,1.6205250506493534,2.0500000000000003,0.3699999999999999
col,Equal Frequency 80,197,1.602203447653479,2.0407318007662836,0.3899999999999999
col,Equal Frequency 100,4078,1.9244952634496921,3.632911392405063,0.15
col,Equal Frequency 100,3247,1.8705425416243462,3.632911392405063,0.16999999999999998
col,Equal Frequency 100,1791,1.6871254975639984,3.097207154383767,0.18999999999999997
col,Equal Frequency 100,1548,1.6549448760941576,2.3581259965805037,0.20999999999999996
col,Equal Frequency 100,1067,1.6298601492257676,2.319611294513537,0.22999999999999995
col,Equal Frequency 100,1045,1.636567211459412,2.319611294513537,0.24999999999999994
col,Equal Frequency 100,824,1.6143994784105165,2.0500000000000003,0.2699999999999999
col,Equal Frequency 100,538,1.5935356376099592,2.0500000000000003,0.2899999999999999
col,Equal Frequency 100,512,1.6035813708374338,2.0500000000000003,0.30999999999999994
col,Equal Frequency 100,399,1.6007578992756597,2.0500000000000003,0.3299999999999999
col,Equal Frequency 100,297,1.597499888703078,2.0500000000000003,0.34999999999999987
col,Equal Frequency 100,293,1.6030075111246354,2.0500000000000003,0.3699999999999999
col,Equal Frequency 100,199,1.5819184174439516,2.032275985663083,0.3899999999999999
