Dataset,Discretization,Number of Rules,Mean Lift,Mean Lift Top 15,Support
green,Equal Width 80,12207,2.007426610855447,5.700653594771241,0.15
green,Equal Width 80,5486,1.6695761215079772,4.339882244771642,0.16999999999999998
green,Equal Width 80,3331,1.57167660425589,3.4479666608533464,0.18999999999999997
green,Equal Width 80,1854,1.4716498109127722,2.3076124245477376,0.20999999999999996
green,Equal Width 80,1207,1.4269008539296337,2.1138468013468015,0.22999999999999995
green,Equal Width 80,888,1.4164401218533496,2.05368485710591,0.24999999999999994
green,Equal Width 80,801,1.4191295107368203,2.05368485710591,0.2699999999999999
green,Equal Width 80,557,1.3879629000029816,1.9319663563084617,0.2899999999999999
green,Equal Width 80,442,1.3917794454863233,1.9319663563084617,0.30999999999999994
green,Equal Width 80,415,1.4031938225805822,1.9319663563084617,0.3299999999999999
green,Equal Width 80,395,1.4150877425433919,1.9319663563084617,0.34999999999999987
green,Equal Width 80,299,1.4064487667093513,1.8770959595959593,0.3699999999999999
green,Equal Width 80,286,1.4176372951767062,1.8770959595959593,0.3899999999999999
green,Equal Width 100,13735,2.095005991602343,5.764705882352941,0.15
green,Equal Width 100,5558,1.6936145204005228,4.275236206458175,0.16999999999999998
green,Equal Width 100,2929,1.5886207705240851,3.075499443826473,0.18999999999999997
green,Equal Width 100,1660,1.4820730807956244,2.2258119836021595,0.20999999999999996
green,Equal Width 100,1156,1.4492452993506808,2.1138468013468015,0.22999999999999995
green,Equal Width 100,891,1.4343401391537016,2.05368485710591,0.24999999999999994
green,Equal Width 100,813,1.4347479018588543,2.05368485710591,0.2699999999999999
green,Equal Width 100,571,1.405056686951138,1.9319663563084617,0.2899999999999999
green,Equal Width 100,452,1.4094796436090296,1.9319663563084617,0.30999999999999994
green,Equal Width 100,415,1.4233619109522442,1.9319663563084617,0.3299999999999999
green,Equal Width 100,392,1.4366916365275395,1.9319663563084617,0.34999999999999987
green,Equal Width 100,305,1.4237689347252014,1.8770959595959593,0.3699999999999999
green,Equal Width 100,289,1.434617579370307,1.8770959595959593,0.3899999999999999
green,Equal Frequency 80,3709,1.9801904982039928,3.6296296296296315,0.15
green,Equal Frequency 80,3097,1.9408742606791303,3.6296296296296315,0.16999999999999998
green,Equal Frequency 80,1579,1.6933153361541962,2.951079423733067,0.18999999999999997
green,Equal Frequency 80,1452,1.6777990631935515,2.375802165802166,0.20999999999999996
green,Equal Frequency 80,976,1.6557747660463216,2.3440971594901137,0.22999999999999995
green,Equal Frequency 80,867,1.6611326869052205,2.3440971594901137,0.24999999999999994
green,Equal Frequency 80,647,1.627919353815238,2.041666666666667,0.2699999999999999
green,Equal Frequency 80,529,1.6252914321128742,2.041666666666667,0.2899999999999999
green,Equal Frequency 80,418,1.6297422733595257,2.041666666666667,0.30999999999999994
green,Equal Frequency 80,311,1.624930608664948,2.041666666666667,0.3299999999999999
green,Equal Frequency 80,307,1.6291340573551634,2.041666666666667,0.34999999999999987
green,Equal Frequency 80,305,1.6326753790194188,2.041666666666667,0.3699999999999999
green,Equal Frequency 80,213,1.6163520012230475,2.0295826558265584,0.3899999999999999
green,Equal Frequency 100,3832,1.9930831377730653,3.6296296296296315,0.15
green,Equal Frequency 100,3113,1.9394067347355204,3.6296296296296315,0.16999999999999998
green,Equal Frequency 100,1600,1.6940387633385081,2.951079423733067,0.18999999999999997
green,Equal Frequency 100,1473,1.6786538431995288,2.375802165802166,0.20999999999999996
green,Equal Frequency 100,992,1.6564465318356918,2.3440971594901137,0.22999999999999995
green,Equal Frequency 100,879,1.6629064595437975,2.3440971594901137,0.24999999999999994
green,Equal Frequency 100,658,1.631063954441457,2.041666666666667,0.2699999999999999
green,Equal Frequency 100,538,1.6304390320999258,2.041666666666667,0.2899999999999999
green,Equal Frequency 100,429,1.6344239562764873,2.041666666666667,0.30999999999999994
green,Equal Frequency 100,317,1.6279130114936406,2.041666666666667,0.3299999999999999
green,Equal Frequency 100,311,1.6343176661964305,2.041666666666667,0.34999999999999987
green,Equal Frequency 100,310,1.6360296470435043,2.041666666666667,0.3699999999999999
green,Equal Frequency 100,213,1.6168176480114083,2.0295826558265584,0.3899999999999999
