Dataset,Discretization,Number of Rules,Mean Lift,Mean Lift Top 15,Support
sch,Equal Width 80,104,1.7906166023213308,3.7590589793572247,0.15
sch,Equal Width 80,56,1.5002107559351605,2.2476608391424615,0.16999999999999998
sch,Equal Width 80,43,1.404206433810766,1.7733993152358782,0.18999999999999997
sch,Equal Width 80,21,1.211459043544637,1.2236715336992188,0.20999999999999996
sch,Equal Width 80,17,1.2047715612015932,1.2087569030582301,0.22999999999999995
sch,Equal Width 80,17,1.2047715612015932,1.2087569030582301,0.24999999999999994
sch,Equal Width 80,13,1.2014374289250223,1.2014374289250223,0.2699999999999999
sch,Equal Width 80,10,1.1950753048936833,1.1950753048936833,0.2899999999999999
sch,Equal Width 80,9,1.1964328784532987,1.1964328784532987,0.30999999999999994
sch,Equal Width 80,9,1.1964328784532987,1.1964328784532987,0.3299999999999999
sch,Equal Width 80,6,1.1945964685419999,1.194596468542,0.34999999999999987
sch,Equal Width 80,6,1.1945964685419999,1.194596468542,0.3699999999999999
sch,Equal Width 80,5,1.194820432376419,1.1948204323764193,0.3899999999999999
sch,Equal Width 100,101,1.8189990449913482,3.7590589793572247,0.15
sch,Equal Width 100,52,1.5239404143427169,2.237308891390375,0.16999999999999998
sch,Equal Width 100,40,1.4266817656960598,1.7795610688262034,0.18999999999999997
sch,Equal Width 100,19,1.2198401740101745,1.2302855936427117,0.20999999999999996
sch,Equal Width 100,16,1.2110797684524188,1.2140719408093406,0.22999999999999995
sch,Equal Width 100,15,1.2126321912005769,1.2126321912005769,0.24999999999999994
sch,Equal Width 100,12,1.2070000620415302,1.20700006204153,0.2699999999999999
sch,Equal Width 100,9,1.2002065009295018,1.2002065009295018,0.2899999999999999
sch,Equal Width 100,8,1.2002323135456896,1.2002323135456896,0.30999999999999994
sch,Equal Width 100,6,1.2015154705577182,1.2015154705577182,0.3299999999999999
sch,Equal Width 100,5,1.198681309767301,1.1986813097673013,0.34999999999999987
sch,Equal Width 100,4,1.2006736775593359,1.2006736775593359,0.3699999999999999
sch,Equal Width 100,4,1.2006736775593359,1.2006736775593359,0.3899999999999999
sch,Equal Frequency 80,40,2.0097212966240936,2.9732885181665676,0.15
sch,Equal Frequency 80,27,2.0840206101511165,2.6799840448620933,0.16999999999999998
sch,Equal Frequency 80,18,1.9077100761741288,2.0432627865961193,0.18999999999999997
sch,Equal Frequency 80,12,1.4236502513463296,1.4236502513463298,0.20999999999999996
sch,Equal Frequency 80,6,1.3999318582651916,1.3999318582651916,0.22999999999999995
sch,Equal Frequency 80,4,1.4065154344566109,1.4065154344566109,0.24999999999999994
sch,Equal Frequency 80,3,1.327734864989767,1.327734864989767,0.2699999999999999
sch,Equal Frequency 80,2,1.36524064171123,1.36524064171123,0.2899999999999999
sch,Equal Frequency 80,2,1.36524064171123,1.36524064171123,0.30999999999999994
sch,Equal Frequency 80,1,1.2369747899159664,1.2369747899159664,0.3299999999999999
sch,Equal Frequency 80,0,,,0.34999999999999987
sch,Equal Frequency 80,0,,,0.3699999999999999
sch,Equal Frequency 80,0,,,0.3899999999999999
sch,Equal Frequency 100,40,2.017079118012863,2.9789450838231333,0.15
sch,Equal Frequency 100,27,2.0910313122045783,2.6826776475556957,0.16999999999999998
sch,Equal Frequency 100,18,1.9161070947969787,2.0496677267821544,0.18999999999999997
sch,Equal Frequency 100,12,1.436245779280605,1.436245779280605,0.20999999999999996
sch,Equal Frequency 100,6,1.4092102019962713,1.4092102019962718,0.22999999999999995
sch,Equal Frequency 100,4,1.4158053527456511,1.4158053527456511,0.24999999999999994
sch,Equal Frequency 100,3,1.3401214227084874,1.3401214227084874,0.2699999999999999
sch,Equal Frequency 100,2,1.3744717968598565,1.3744717968598565,0.2899999999999999
sch,Equal Frequency 100,2,1.3744717968598565,1.3744717968598565,0.30999999999999994
sch,Equal Frequency 100,1,1.2554371002132196,1.2554371002132196,0.3299999999999999
sch,Equal Frequency 100,0,,,0.34999999999999987
sch,Equal Frequency 100,0,,,0.3699999999999999
sch,Equal Frequency 100,0,,,0.3899999999999999
