,Dataset,Classifier,Measure,Value
0,Green,GaussianNB,Accuracy,0.7844444444444445
1,Green,GaussianNB,Sensibility,0.5233333333333332
2,Green,GaussianNB,Specificity,0.9054365079365081
3,Green,KNeighborsClassifier,Accuracy,0.7322222222222222
4,Green,KNeighborsClassifier,Sensibility,0.2833333333333333
5,Green,KNeighborsClassifier,Specificity,0.9203174603174604
6,Green,DecisionTreeClassifier,Accuracy,0.7444444444444445
7,Green,DecisionTreeClassifier,Sensibility,0.5183333333333333
8,Green,DecisionTreeClassifier,Specificity,0.8332539682539682
9,Green,RandomForestClassifier,Accuracy,0.8255555555555556
10,Green,RandomForestClassifier,Sensibility,0.6433333333333333
11,Green,RandomForestClassifier,Specificity,0.9036507936507938
12,Hinselmann,GaussianNB,Accuracy,0.6488888888888888
13,Hinselmann,GaussianNB,Sensibility,0.275
14,Hinselmann,GaussianNB,Specificity,0.7140873015873015
15,Hinselmann,KNeighborsClassifier,Accuracy,0.8366666666666667
16,Hinselmann,KNeighborsClassifier,Sensibility,0.0
17,Hinselmann,KNeighborsClassifier,Specificity,0.9888888888888889
18,Hinselmann,DecisionTreeClassifier,Accuracy,0.7544444444444445
19,Hinselmann,DecisionTreeClassifier,Sensibility,0.1
20,Hinselmann,DecisionTreeClassifier,Specificity,0.8621031746031746
21,Hinselmann,RandomForestClassifier,Accuracy,0.8066666666666666
22,Hinselmann,RandomForestClassifier,Sensibility,0.05
23,Hinselmann,RandomForestClassifier,Specificity,0.9384920634920635
24,Schiller,GaussianNB,Accuracy,0.6722222222222222
25,Schiller,GaussianNB,Sensibility,0.3483333333333333
26,Schiller,GaussianNB,Specificity,0.7796428571428571
27,Schiller,KNeighborsClassifier,Accuracy,0.7511111111111111
28,Schiller,KNeighborsClassifier,Sensibility,0.10333333333333332
29,Schiller,KNeighborsClassifier,Specificity,0.9732142857142858
30,Schiller,DecisionTreeClassifier,Accuracy,0.6833333333333333
31,Schiller,DecisionTreeClassifier,Sensibility,0.32666666666666666
32,Schiller,DecisionTreeClassifier,Specificity,0.7823809523809524
33,Schiller,RandomForestClassifier,Accuracy,0.7488888888888888
34,Schiller,RandomForestClassifier,Sensibility,0.2866666666666667
35,Schiller,RandomForestClassifier,Specificity,0.9113888888888889
