Number of Clusters,Silhoutte Score,Davies-Bouldin,Method
2,0.18464743078855123,1.9472705343644516,K Means
3,0.189412479776868,1.4217313807137657,K Means
4,0.21217256028547074,1.3261806195482975,K Means
5,0.21463981419365583,1.4785065086347149,K Means
6,0.20592472406375809,1.5485288429002209,K Means
7,0.20043415544042872,1.5883751867154163,K Means
8,0.19039113667005747,1.5715847687009639,K Means
9,0.17187149012674968,1.6365961371509332,K Means
10,0.1757860248490217,1.5597791004968091,K Means
11,0.16005862359918652,1.728054945226036,K Means
12,0.18385447577933156,1.5101870361264036,K Means
13,0.1610363040632386,1.6883955744646473,K Means
14,0.17902714473017423,1.6018438718483805,K Means
15,0.13753004906312688,1.7876663105024722,K Means
16,0.14121374367230885,1.7812425240515255,K Means
17,0.14481383122748157,1.731949744052961,K Means
18,0.14515930972223604,1.5858328837355469,K Means
19,0.14468281189107046,1.7232395492525638,K Means
2,0.19454353325317314,1.886464824487818,K Means PCA
3,0.20080658385655997,1.3638641686217408,K Means PCA
4,0.22594011318668536,1.2651608509798768,K Means PCA
5,0.22182078936796903,1.4345866379200987,K Means PCA
6,0.22949413093137172,1.4591869705844822,K Means PCA
7,0.2195153903929683,1.467650577041366,K Means PCA
8,0.201933820554864,1.5830837282165882,K Means PCA
9,0.19579690095170482,1.4815024070260323,K Means PCA
10,0.1955994744934459,1.4789360840029278,K Means PCA
11,0.20263235626834014,1.45011243462962,K Means PCA
12,0.1984069137641077,1.5591118165164775,K Means PCA
13,0.16634356802530711,1.604958476551396,K Means PCA
14,0.18213891679049862,1.4962833463050127,K Means PCA
15,0.1516552621449314,1.7033607024086983,K Means PCA
16,0.1638948923516764,1.5763722332742403,K Means PCA
17,0.16079337387806789,1.5722467125889714,K Means PCA
18,0.15406497029672583,1.5982408986302128,K Means PCA
19,0.15460332385872758,1.525806305795794,K Means PCA
