cervix_area,os_area,walls_area,speculum_area,artifacts_area,cervix_artifacts_area,os_artifacts_area,walls_artifacts_area,speculum_artifacts_area,cervix_specularities_area,os_specularities_area,walls_specularities_area,speculum_specularities_area,specularities_area,area_h_max_diff,rgb_cervix_r_mean,rgb_cervix_r_std,rgb_cervix_r_mean_minus_std,rgb_cervix_r_mean_plus_std,rgb_cervix_g_mean,rgb_cervix_g_std,rgb_cervix_g_mean_minus_std,rgb_cervix_g_mean_plus_std,rgb_cervix_b_mean,rgb_cervix_b_std,rgb_cervix_b_mean_minus_std,rgb_cervix_b_mean_plus_std,rgb_total_r_mean,rgb_total_r_std,rgb_total_r_mean_minus_std,rgb_total_r_mean_plus_std,rgb_total_g_mean,rgb_total_g_std,rgb_total_g_mean_minus_std,rgb_total_g_mean_plus_std,rgb_total_b_mean,rgb_total_b_std,rgb_total_b_mean_minus_std,rgb_total_b_mean_plus_std,hsv_cervix_h_mean,hsv_cervix_h_std,hsv_cervix_s_mean,hsv_cervix_s_std,hsv_cervix_v_mean,hsv_cervix_v_std,hsv_total_h_mean,hsv_total_h_std,hsv_total_s_mean,hsv_total_s_std,hsv_total_v_mean,hsv_total_v_std,fit_cervix_hull_rate,fit_cervix_hull_total,fit_cervix_bbox_rate,fit_cervix_bbox_total,fit_circle_rate,fit_circle_total,fit_ellipse_rate,fit_ellipse_total,fit_ellipse_goodness,dist_to_center_cervix,dist_to_center_os,experts::0,experts::1,experts::2,experts::3,experts::4,consensus
discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,class,class,class,class,class,class
0.29599288236050003 - 0.4148805179375,0.002897399530935 - 0.005508613246435,0.0314195973746 - 0.08975567389474999,0.260334347052 - 0.34036759808149997,≥ 0.12151746063749999,0.006889730479495 - 0.0208134764854,< 0.0001438053321395,0.04146483898615 - 0.1831493444665,0.007418016362354999 - 0.01581161518775,< 0.0002390249907195,< 0.000228591968067,< 8.4308629891e-06,0.0686312097273 - 0.1050135748555,0.00989879261364 - 0.026604440144999998,0.216782419735 - 0.295104538641,33.21853684045 - 47.56289609165,14.060771451499999 - 18.453327782949998,15.60971419925 - 24.714908994349997,51.903506279700004 - 72.33956178560001,92.18128849925 - 127.933561717,38.457240429799995 - 45.150140219899995,53.1564822216 - 79.64663040719999,135.868645776 - 174.17908940400002,≥ 54.3072798006,21.88493769955 - 25.95157348315,≥ 30.7329638663,68.219835706 - 77.37952903245,35.054564784600004 - 50.5323452107,22.85920503925 - 40.6410813933,-2.691466149145 - 8.19403471999,55.50756439680001 - 93.17887905715,91.98167185055 - 110.5491878305,47.04666434005 - 56.81371123235,33.22317124995 - 48.547312032949996,139.36625546599998 - 172.14454805100002,≥ 47.4570756392,≥ 38.08944955705,-2.875302309865 - 9.835678354975,≥ 77.15495992954999,4.99549712366 - 5.08459618188,2.967037609425 - 3.0334673357749997,155.297861043 - 174.03339239449997,25.6163835825 - 30.372530758449997,93.48439490985 - 127.9346173695,38.4677911634 - 45.1483997816,5.065037803275001 - 5.106173603289999,2.8987250611200004 - 2.96221592969,157.494181953 - 174.323058508,37.011818022149995 - 42.945348357200004,91.99746063135001 - 110.568931843,47.03748003755 - 56.69539545580001,0.915533382153 - 0.952310686871,0.32037066516449997 - 0.44787788989,0.8395521565275 - 0.8811093499925,0.3859411735895 - 0.5364634355405,0.5802640237475 - 0.62580263927,0.501791473288 - 0.6548785552085,0.9469113332355 - 0.9758055740025001,0.3071579888325 - 0.44012817005899996,61.4662535496 - 95.92647926389999,< 0.280192955183,0.300509430827 - 0.3705472458425,1.0,0.0,0.0,1.0,1.0,1.0
< 0.29599288236050003,< 0.002897399530935,0.0314195973746 - 0.08975567389474999,≥ 0.34036759808149997,≥ 0.12151746063749999,0.006889730479495 - 0.0208134764854,< 0.0001438053321395,0.04146483898615 - 0.1831493444665,≥ 0.02881221069815,0.00177558449046 - 0.004837681936445,< 0.000228591968067,< 8.4308629891e-06,0.018317870931799998 - 0.0686312097273,≥ 0.026604440144999998,< 0.0808134141338,47.56289609165 - 109.18739559599999,18.453327782949998 - 24.797392167350004,24.714908994349997 - 70.7537077792,72.33956178560001 - 148.200492149,92.18128849925 - 127.933561717,38.457240429799995 - 45.150140219899995,53.1564822216 - 79.64663040719999,135.868645776 - 174.17908940400002,≥ 54.3072798006,≥ 25.95157348315,≥ 30.7329638663,≥ 77.37952903245,50.5323452107 - 77.70370359035,22.85920503925 - 40.6410813933,14.8268354975 - 21.828551593649998,93.17887905715 - 132.0931897955,91.98167185055 - 110.5491878305,33.726190609 - 47.04666434005,48.547312032949996 - 65.83395121515,139.36625546599998 - 172.14454805100002,≥ 47.4570756392,≥ 38.08944955705,≥ 18.1476283134,≥ 77.15495992954999,< 4.99549712366,2.873964790625 - 2.967037609425,< 155.297861043,21.24960604495 - 25.6163835825,93.48439490985 - 127.9346173695,38.4677911634 - 45.1483997816,5.065037803275001 - 5.106173603289999,2.796057762295 - 2.8987250611200004,< 157.494181953,32.032048521899995 - 37.011818022149995,91.99746063135001 - 110.568931843,33.7290830111 - 47.03748003755,< 0.915533382153,< 0.32037066516449997,< 0.7423732281704999,< 0.3859411735895,< 0.552867105276,< 0.501791473288,< 0.9469113332355,< 0.3071579888325,117.3164365035 - 197.7118196685,≥ 0.5674088495925,< 0.300509430827,0.0,0.0,0.0,0.0,0.0,0.0
0.4148805179375 - 0.5034645068845,< 0.002897399530935,0.14691538255699998 - 0.25618304703350003,0.17251782411150002 - 0.260334347052,< 0.00417289135972,< 0.0003471315276555,< 0.0001438053321395,< 8.78513159785e-05,< 0.0006340237011,0.0002390249907195 - 0.00177558449046,< 0.000228591968067,< 8.4308629891e-06,0.0686312097273 - 0.1050135748555,0.00989879261364 - 0.026604440144999998,0.216782419735 - 0.295104538641,33.21853684045 - 47.56289609165,18.453327782949998 - 24.797392167350004,15.60971419925 - 24.714908994349997,51.903506279700004 - 72.33956178560001,92.18128849925 - 127.933561717,45.150140219899995 - 55.5987133055,53.1564822216 - 79.64663040719999,135.868645776 - 174.17908940400002,≥ 54.3072798006,≥ 25.95157348315,24.8542648739 - 30.7329638663,≥ 77.37952903245,35.054564784600004 - 50.5323452107,22.85920503925 - 40.6410813933,-2.691466149145 - 8.19403471999,55.50756439680001 - 93.17887905715,91.98167185055 - 110.5491878305,56.81371123235 - 76.22593454124998,48.547312032949996 - 65.83395121515,139.36625546599998 - 172.14454805100002,≥ 47.4570756392,≥ 38.08944955705,9.835678354975 - 18.1476283134,≥ 77.15495992954999,4.99549712366 - 5.08459618188,2.967037609425 - 3.0334673357749997,155.297861043 - 174.03339239449997,21.24960604495 - 25.6163835825,93.48439490985 - 127.9346173695,45.1483997816 - 55.47008317155,5.065037803275001 - 5.106173603289999,2.96221592969 - 3.013283698795,157.494181953 - 174.323058508,32.032048521899995 - 37.011818022149995,91.99746063135001 - 110.568931843,56.69539545580001 - 76.22323342765,0.915533382153 - 0.952310686871,0.44787788989 - 0.522675230212,0.7423732281704999 - 0.789625588963,0.609852566614 - 0.7269206749605,0.62580263927 - 0.6714850151295,0.6548785552085 - 0.8000803605725,< 0.9469113332355,0.44012817005899996 - 0.51794242261,61.4662535496 - 95.92647926389999,0.47630703865650004 - 0.5674088495925,0.3705472458425 - 0.43122488013500004,1.0,0.0,0.0,1.0,0.0,0.0
0.5034645068845 - 0.62757533808,0.005508613246435 - 0.00737411233596,0.14691538255699998 - 0.25618304703350003,0.17251782411150002 - 0.260334347052,0.06564410026355003 - 0.12151746063749999,< 0.0003471315276555,< 0.0001438053321395,0.01737100351485 - 0.04146483898615,0.0006340237011 - 0.007418016362354999,0.0002390249907195 - 0.00177558449046,< 0.000228591968067,8.4308629891e-06 - 0.0005554730915475,< 1.01571567067e-05,< 0.00074849382837,0.0808134141338 - 0.1430115901745,33.21853684045 - 47.56289609165,14.060771451499999 - 18.453327782949998,24.714908994349997 - 70.7537077792,51.903506279700004 - 72.33956178560001,92.18128849925 - 127.933561717,38.457240429799995 - 45.150140219899995,53.1564822216 - 79.64663040719999,135.868645776 - 174.17908940400002,46.52566146305 - 54.3072798006,15.247220534099998 - 18.6732972454,≥ 30.7329638663,68.219835706 - 77.37952903245,35.054564784600004 - 50.5323452107,15.032189463249999 - 22.85920503925,≥ 21.828551593649998,55.50756439680001 - 93.17887905715,91.98167185055 - 110.5491878305,33.726190609 - 47.04666434005,48.547312032949996 - 65.83395121515,139.36625546599998 - 172.14454805100002,≥ 47.4570756392,16.39169462625 - 24.2868293179,≥ 18.1476283134,67.1103675554 - 77.15495992954999,5.08459618188 - 5.18249691296,2.967037609425 - 3.0334673357749997,155.297861043 - 174.03339239449997,21.24960604495 - 25.6163835825,93.48439490985 - 127.9346173695,38.4677911634 - 45.1483997816,5.065037803275001 - 5.106173603289999,2.8987250611200004 - 2.96221592969,157.494181953 - 174.323058508,< 32.032048521899995,91.99746063135001 - 110.568931843,33.7290830111 - 47.03748003755,0.915533382153 - 0.952310686871,0.522675230212 - 0.648583219044,0.8395521565275 - 0.8811093499925,0.5364634355405 - 0.609852566614,0.5802640237475 - 0.62580263927,0.8000803605725 - 1.06686504989,0.9469113332355 - 0.9758055740025001,0.51794242261 - 0.630364752435,61.4662535496 - 95.92647926389999,0.280192955183 - 0.3606192164055,0.300509430827 - 0.3705472458425,1.0,1.0,0.0,1.0,1.0,1.0
0.29599288236050003 - 0.4148805179375,0.00737411233596 - 0.01053450261865,≥ 0.25618304703350003,≥ 0.34036759808149997,< 0.00417289135972,< 0.0003471315276555,< 0.0001438053321395,< 8.78513159785e-05,< 0.0006340237011,< 0.0002390249907195,< 0.000228591968067,8.4308629891e-06 - 0.0005554730915475,0.0686312097273 - 0.1050135748555,≥ 0.026604440144999998,≥ 0.295104538641,33.21853684045 - 47.56289609165,14.060771451499999 - 18.453327782949998,15.60971419925 - 24.714908994349997,51.903506279700004 - 72.33956178560001,92.18128849925 - 127.933561717,27.18439128035 - 38.457240429799995,53.1564822216 - 79.64663040719999,135.868645776 - 174.17908940400002,46.52566146305 - 54.3072798006,15.247220534099998 - 18.6732972454,≥ 30.7329638663,68.219835706 - 77.37952903245,35.054564784600004 - 50.5323452107,22.85920503925 - 40.6410813933,-2.691466149145 - 8.19403471999,55.50756439680001 - 93.17887905715,91.98167185055 - 110.5491878305,47.04666434005 - 56.81371123235,48.547312032949996 - 65.83395121515,139.36625546599998 - 172.14454805100002,≥ 47.4570756392,≥ 38.08944955705,9.835678354975 - 18.1476283134,≥ 77.15495992954999,< 4.99549712366,2.873964790625 - 2.967037609425,155.297861043 - 174.03339239449997,25.6163835825 - 30.372530758449997,93.48439490985 - 127.9346173695,27.19052318465 - 38.4677911634,< 5.065037803275001,2.8987250611200004 - 2.96221592969,< 157.494181953,37.011818022149995 - 42.945348357200004,91.99746063135001 - 110.568931843,47.03748003755 - 56.69539545580001,0.952310686871 - 0.9674226745735002,0.32037066516449997 - 0.44787788989,≥ 0.8811093499925,0.3859411735895 - 0.5364634355405,0.5802640237475 - 0.62580263927,0.501791473288 - 0.6548785552085,0.9469113332355 - 0.9758055740025001,0.3071579888325 - 0.44012817005899996,61.4662535496 - 95.92647926389999,0.3606192164055 - 0.47630703865650004,≥ 0.5291687620665,1.0,0.0,0.0,1.0,1.0,1.0
0.5034645068845 - 0.62757533808,0.00737411233596 - 0.01053450261865,0.08975567389474999 - 0.14691538255699998,< 0.0052117248006,< 0.00417289135972,< 0.0003471315276555,< 0.0001438053321395,< 8.78513159785e-05,< 0.0006340237011,0.004837681936445 - 0.009962267930725,< 0.000228591968067,< 8.4308629891e-06,< 1.01571567067e-05,0.00074849382837 - 0.0033506196120699997,≥ 0.295104538641,33.21853684045 - 47.56289609165,18.453327782949998 - 24.797392167350004,15.60971419925 - 24.714908994349997,51.903506279700004 - 72.33956178560001,92.18128849925 - 127.933561717,27.18439128035 - 38.457240429799995,53.1564822216 - 79.64663040719999,135.868645776 - 174.17908940400002,46.52566146305 - 54.3072798006,21.88493769955 - 25.95157348315,24.8542648739 - 30.7329638663,68.219835706 - 77.37952903245,35.054564784600004 - 50.5323452107,15.032189463249999 - 22.85920503925,14.8268354975 - 21.828551593649998,34.60237439845 - 55.50756439680001,91.98167185055 - 110.5491878305,33.726190609 - 47.04666434005,48.547312032949996 - 65.83395121515,96.81188691310001 - 139.36625546599998,34.56263224695 - 47.4570756392,16.39169462625 - 24.2868293179,≥ 18.1476283134,67.1103675554 - 77.15495992954999,4.99549712366 - 5.08459618188,2.967037609425 - 3.0334673357749997,155.297861043 - 174.03339239449997,25.6163835825 - 30.372530758449997,93.48439490985 - 127.9346173695,27.19052318465 - 38.4677911634,5.065037803275001 - 5.106173603289999,2.8987250611200004 - 2.96221592969,157.494181953 - 174.323058508,< 32.032048521899995,91.99746063135001 - 110.568931843,33.7290830111 - 47.03748003755,0.9674226745735002 - 0.9832736733934999,0.522675230212 - 0.648583219044,0.7423732281704999 - 0.789625588963,0.609852566614 - 0.7269206749605,≥ 0.6714850151295,0.6548785552085 - 0.8000803605725,0.9922521598940002 - 1.002514427105,0.51794242261 - 0.630364752435,< 61.4662535496,0.47630703865650004 - 0.5674088495925,0.300509430827 - 0.3705472458425,1.0,0.0,0.0,1.0,1.0,1.0
0.5034645068845 - 0.62757533808,0.005508613246435 - 0.00737411233596,≥ 0.25618304703350003,0.0052117248006 - 0.17251782411150002,0.0444501489124 - 0.06564410026355003,≥ 0.0950803285338,0.0001438053321395 - 0.00635936495028,< 8.78513159785e-05,< 0.0006340237011,0.00177558449046 - 0.004837681936445,< 0.000228591968067,< 8.4308629891e-06,< 1.01571567067e-05,0.00074849382837 - 0.0033506196120699997,0.1430115901745 - 0.216782419735,33.21853684045 - 47.56289609165,18.453327782949998 - 24.797392167350004,15.60971419925 - 24.714908994349997,51.903506279700004 - 72.33956178560001,92.18128849925 - 127.933561717,45.150140219899995 - 55.5987133055,53.1564822216 - 79.64663040719999,135.868645776 - 174.17908940400002,≥ 54.3072798006,≥ 25.95157348315,≥ 30.7329638663,≥ 77.37952903245,35.054564784600004 - 50.5323452107,15.032189463249999 - 22.85920503925,14.8268354975 - 21.828551593649998,55.50756439680001 - 93.17887905715,59.015209430949994 - 91.98167185055,33.726190609 - 47.04666434005,33.22317124995 - 48.547312032949996,96.81188691310001 - 139.36625546599998,≥ 47.4570756392,24.2868293179 - 29.3866349711,≥ 18.1476283134,67.1103675554 - 77.15495992954999,4.99549712366 - 5.08459618188,2.873964790625 - 2.967037609425,< 155.297861043,30.372530758449997 - 37.215723941250005,93.48439490985 - 127.9346173695,45.1483997816 - 55.47008317155,5.065037803275001 - 5.106173603289999,2.796057762295 - 2.8987250611200004,< 157.494181953,32.032048521899995 - 37.011818022149995,59.02958969185 - 91.99746063135001,33.7290830111 - 47.03748003755,0.952310686871 - 0.9674226745735002,0.522675230212 - 0.648583219044,0.7423732281704999 - 0.789625588963,0.609852566614 - 0.7269206749605,≥ 0.6714850151295,0.6548785552085 - 0.8000803605725,0.9758055740025001 - 0.9922521598940002,0.51794242261 - 0.630364752435,< 61.4662535496,0.280192955183 - 0.3606192164055,< 0.300509430827,1.0,0.0,0.0,1.0,1.0,1.0
0.5034645068845 - 0.62757533808,≥ 0.01053450261865,0.08975567389474999 - 0.14691538255699998,0.17251782411150002 - 0.260334347052,0.06564410026355003 - 0.12151746063749999,≥ 0.0950803285338,0.23353653869949997 - 0.321924938923,< 8.78513159785e-05,< 0.0006340237011,0.004837681936445 - 0.009962267930725,≥ 0.01881119283875,< 8.4308629891e-06,< 1.01571567067e-05,0.00074849382837 - 0.0033506196120699997,0.216782419735 - 0.295104538641,33.21853684045 - 47.56289609165,24.797392167350004 - 35.744860843699996,1.301302401005 - 15.60971419925,51.903506279700004 - 72.33956178560001,92.18128849925 - 127.933561717,≥ 55.5987133055,31.269343164349998 - 53.1564822216,135.868645776 - 174.17908940400002,46.52566146305 - 54.3072798006,≥ 25.95157348315,15.51388622055 - 24.8542648739,≥ 77.37952903245,35.054564784600004 - 50.5323452107,15.032189463249999 - 22.85920503925,14.8268354975 - 21.828551593649998,55.50756439680001 - 93.17887905715,59.015209430949994 - 91.98167185055,47.04666434005 - 56.81371123235,33.22317124995 - 48.547312032949996,96.81188691310001 - 139.36625546599998,34.56263224695 - 47.4570756392,24.2868293179 - 29.3866349711,≥ 18.1476283134,67.1103675554 - 77.15495992954999,4.99549712366 - 5.08459618188,2.873964790625 - 2.967037609425,< 155.297861043,≥ 37.215723941250005,93.48439490985 - 127.9346173695,≥ 55.47008317155,5.065037803275001 - 5.106173603289999,2.8987250611200004 - 2.96221592969,< 157.494181953,32.032048521899995 - 37.011818022149995,59.02958969185 - 91.99746063135001,47.03748003755 - 56.69539545580001,0.915533382153 - 0.952310686871,0.522675230212 - 0.648583219044,0.789625588963 - 0.8395521565275,0.609852566614 - 0.7269206749605,0.62580263927 - 0.6714850151295,0.6548785552085 - 0.8000803605725,0.9469113332355 - 0.9758055740025001,0.51794242261 - 0.630364752435,61.4662535496 - 95.92647926389999,0.3606192164055 - 0.47630703865650004,0.300509430827 - 0.3705472458425,0.0,0.0,1.0,1.0,1.0,1.0
