,Classifier,Measure,Value
0,BernoulliNB,Accuracy,0.9310344827586207
1,BernoulliNB,Sensibility,0.9016393442622951
2,BernoulliNB,Specificity,1.0
3,DecisionTreeClassifier,Accuracy,0.8620689655172413
4,DecisionTreeClassifier,Sensibility,0.9344262295081968
5,DecisionTreeClassifier,Specificity,0.6923076923076923
6,KNeighborsClassifier,Accuracy,0.6896551724137931
7,KNeighborsClassifier,Sensibility,0.7049180327868853
8,KNeighborsClassifier,Specificity,0.6538461538461539
9,RandomForestClassifier,Accuracy,0.896551724137931
10,RandomForestClassifier,Sensibility,0.9508196721311475
11,RandomForestClassifier,Specificity,0.7692307692307693
